word	phones	count
a	a	965735
aarón	aaRon	1040
ábaco	aBako	9
abad	aBad	48
abadesa	aBaDesa	12
abadía	aBaDia	95
abajo	aBaxo	8727
abalancé	aBalanse	4
abalances	aBalanses	2
abalanza	aBalansa	8
abalanzaba	aBalansaBa	2
abalanzamos	aBalansamos	2
abalanzan	aBalansan	2
abalanzándose	aBalansandose	2
abalanzarán	aBalansaRan	2
abalanzarnos	aBalansaRnos	2
abalanzaron	aBalansaRon	5
abalanzarse	aBalansaRse	4
abalanzarte	aBalansaRte	2
abalanzas	aBalansas	4
abalanzaste	aBalansaste	2
abalanzo	aBalanso	3
abalanzó	aBalanso	22
abanderada	aBandeRaDa	3
abandona	aBandona	263
abandonaba	aBandonaBa	15
abandonaban	aBandonaBan	4
abandonabas	aBandonaBas	2
abandonad	aBandonad	3
abandonada	aBandonaDa	208
abandonadas	aBandonaDas	37
abandonado	aBandonaDo	744
abandonados	aBandonaDos	112
abandónalo	aBandonalo	2
abandóname	aBandoname	5
abandonamos	aBandonamos	72
abandonan	aBandonan	84
abandonando	aBandonando	84
abandonándolo	aBandonandolo	6
abandonándonos	aBandonandonos	2
abandonándote	aBandonandote	2
abandonar	aBandonaR	971
abandonara	aBandonaRa	60
abandonará	aBandonaRa	57
abandonáramos	aBandonaRamos	4
abandonaran	aBandonaRan	10
abandonarán	aBandonaRan	9
abandonaras	aBandonaRas	23
abandonarás	aBandonaRas	42
abandonaré	aBandonaRe	98
abandonaremos	aBandonaRemos	34
abandonaría	aBandonaRia	50
abandonaríamos	aBandonaRiamos	4
abandonarían	aBandonaRian	8
abandonarías	aBandonaRias	26
abandonarla	aBandonaRla	52
abandonarlas	aBandonaRlas	5
abandonarle	aBandonaRle	6
abandonarlo	aBandonaRlo	93
abandonarlos	aBandonaRlos	36
abandonarme	aBandonaRme	87
abandonarnos	aBandonaRnos	22
abandonaron	aBandonaRon	188
abandonaros	aBandonaRos	2
abandonarse	aBandonaRse	2
abandonarte	aBandonaRte	52
abandonas	aBandonas	95
abandonaste	aBandonaste	204
abandónate	aBandonate	2
abandone	aBandone	161
abandoné	aBandone	214
abandonemos	aBandonemos	29
abandonen	aBandonen	125
abandones	aBandones	120
abandono	aBandono	216
abandonó	aBandono	709
abandonos	aBandonos	2
abanica	aBanika	7
abanícalo	aBanikalo	2
abanícame	aBanikame	4
abanican	aBanikan	2
abanicando	aBanikando	2
abanicar	aBanikaR	7
abanicaste	aBanikaste	2
abanico	aBaniko	43
abanicos	aBanikos	6
abaniques	aBanikes	6
abaratas	aBaRatas	2
abarató	aBaRato	3
abarca	aBaRka	52
abarcaba	aBaRkaBa	2
abarcado	aBaRkaDo	3
abarcando	aBaRkando	3
abarcar	aBaRkaR	17
abarcarán	aBaRkaRan	2
abarcarlo	aBaRkaRlo	2
