word,word_shape,word_phono,length,frequency_bin,real_wbps,real_mbps,real_wbos,real_mbos,nonword1,nonword1_phono,nonword1_wbps,nonword1_mbps,nonword1_wbos,nonword1_mbos,nonword2,nonword2_phono,nonword2_wbps,nonword2_mbps,nonword2_wbos,nonword2_mbos,nonword3,nonword3_phono,nonword3_wbps,nonword3_mbps,nonword3_wbos,nonword3_mbos
abadejo,VCVCVCV,aBaDexo,7,<10,-1.200830875,-1.02383315,-1.032982875,-0.9842432375,amasema,amasema,-1.119467125,-0.898794525,-1.146725125,-0.9257426125,amasepa,amasepa,-1.11070275,-0.9253739,-1.181543875,-0.9812921125,amaseba,amaseBa,-1.0620415,-0.953674275,-1.22268325,-1.0501471125
abadesa,VCVCVCV,aBaDesa,7,<10,-0.922396125,-0.867020525,-0.958501875,-0.8587997375,amamelo,amamelo,-0.904640625,-1.004391025,-0.90965375,-0.9808163625,amaselo,amaselo,-0.88529775,-0.93589315,-0.91934975,-0.9738647375,amalevo,amaleBo,-0.96859825,-0.920838775,-0.95877775,-0.9014677375
abadía,VCVCVV,aBaDia,6,<10,-0.9315032857142856,-0.9289013142857142,-0.9549525714285716,-0.8983597000000001,amirío,amiRio,-1.0740305714285714,-1.019636742857143,-1.000346857142857,-0.9390002714285716,,,,,,,,,,,,
abajo,VCVCV,aBaxo,5,10-100,-0.8972988333333333,-0.8999790333333332,-0.8550573333333333,-0.8849123166666667,avizo,aBiso,-0.9366338333333334,-0.8498500333333334,-1.020445,-1.0243638166666666,,,,,,,,,,,,
abalorio,VCVCVCVV,aBaloRjo,8,<10,-0.8903212222222222,-0.8497701333333334,-0.948355111111111,-0.9056422111111112,amageria,amaxeRja,-0.9663441111111112,-0.8773558000000001,-0.9528687777777776,-0.9127153222222222,amagenio,amaxenjo,-1.0162185555555556,-0.8958684666666668,-1.1249177777777777,-0.943757988888889,amasocia,amasosja,-1.0461413333333334,-0.8882388000000001,-1.0292291111111112,-0.8854887666666666
abandono,VCVCCVCV,aBandono,8,10-100,-0.7492485555555555,-0.8549361333333335,-0.8010776666666666,-0.8938582111111112,adortono,aDoRtono,-0.9386102222222222,-0.8795494666666668,-0.9631135555555556,-0.8974729888888889,,,,,,,,,,,,
abanico,VCVCVCV,aBaniko,7,<10,-0.82175275,-0.8313454,-0.8566735,-0.8691312375000001,acalina,akalina,-0.871085375,-0.79425415,-0.89747075,-0.7909118625,acarina,akaRina,-0.8874295,-0.808639275,-0.902330125,-0.7850671125,acacina,akasina,-0.920725125,-0.801416025,-0.9679095,-0.8659581125000001
abanto,VCVCCV,aBanto,6,<10,-0.7499418571428571,-0.8028938857142857,-0.7838241428571429,-0.8432378428571429,avisto,aBisto,-0.858036,-0.7988234571428572,-0.8478518571428572,-0.8094321285714285,aresto,aResto,-0.9112957142857142,-0.8102213142857142,-0.8860252857142857,-0.8009838428571429,avesto,aBesto,-0.9146522857142856,-0.8349354571428572,-0.9313834285714284,-0.8606762714285715
abarca,VCVCCV,aBaRka,6,10-100,-0.8861638571428572,-0.8402683142857141,-0.9244477142857144,-0.8392902714285715,apersa,apeRsa,-0.9065141428571428,-0.7784286,-0.960743,-0.8171911285714286,avisca,aBiska,-0.9259068571428573,-0.8169620285714286,-0.9229961428571428,-0.8503105571428572,aversa,aBeRsa,-0.9308182857142856,-0.7731961714285713,-0.9990995714285714,-0.8603442714285715
abarcado,VCVCCVCV,aBaRkaDo,8,<10,-0.7695506666666667,-0.8520592444444445,-0.8026678888888888,-0.8567167666666666,apinsado,apinsaDo,-0.8056663333333334,-0.897923688888889,-0.8608093333333333,-0.9142038777777776,apulsado,apulsaDo,-0.7310914444444445,-0.8606552444444444,-0.7735078888888889,-0.8953245444444445,apismado,apismaDo,-0.8646333333333334,-0.9056881333333332,-0.8596507777777778,-0.8906551
abarcar,VCVCCVC,aBaRkaR,7,<10,-0.85109825,-0.885755525,-0.88527775,-0.8855449875,apersar,apeRsaR,-0.866385875,-0.874118275,-0.931444,-0.9185861125,aviscar,aBiskaR,-0.885873375,-0.865525775,-0.884007625,-0.8947441125,aversar,aBeRsaR,-0.887651875,-0.869539775,-0.965005875,-0.9563449875
abasto,VCVCCV,aBasto,6,<10,-0.8207329999999999,-0.8742381714285715,-0.8483,-0.8488912714285715,aconto,akonto,-0.8104418571428571,-0.7974378857142858,-0.8189532857142857,-0.8013405571428571,acorto,akoRto,-0.9290754285714286,-0.8632533142857142,-0.9324177142857144,-0.8599284142857143,acolto,akolto,-0.9724677142857142,-0.9125230285714286,-0.998491,-0.9428598428571427
abatida,VCVCVCV,aBatiDa,7,<10,-0.81032575,-0.8569996499999999,-0.81586875,-0.8732593625,amelido,ameliDo,-0.875151625,-0.8856091500000001,-0.87798725,-0.8914337375000001,aminido,aminiDo,-0.889471,-0.846286025,-0.8950625,-0.8672176125000001,amecido,amesiDo,-0.892060625,-0.8620422750000001,-0.93286975,-0.8973201125000001
abatido,VCVCVCV,aBatiDo,7,<10,-0.81955475,-0.8605989,-0.82054925,-0.8860788625,amelida,ameliDa,-0.865922625,-0.8819372750000001,-0.87330675,-0.8767664875000001,aminida,aminiDa,-0.880242,-0.84263515,-0.890382,-0.8529084875,amesida,amesiDa,-0.882831625,-0.8583647750000001,-0.986866125,-0.9091879875
abatir,VCVCVC,aBatiR,6,<10,-0.9182065714285714,-0.9408970285714284,-0.9207695714285714,-0.9879995571428573,avaner,aBaneR,-0.9667732857142858,-0.9214551714285714,-1.1147437142857144,-1.041157557142857,aganer,aGaneR,-1.0390652857142857,-0.947873742857143,-1.0521805714285717,-0.9807175571428572,avirir,aBiRiR,-1.0632857142857142,-1.0787306,-1.1066431428571428,-1.1066039857142858
abdicar,VCCVCVC,abDikaR,7,<10,-0.865469375,-0.855106275,-0.9833035,-0.9628051125,agracar,aGRakaR,-0.877645375,-0.8288480250000001,-0.885635375,-0.8491137375000001,,,,,,,,,,,,
abedul,VCVCVC,aBeDul,6,<10,-1.201904,-1.0314668857142857,-1.2559728571428572,-1.0304897000000002,adeden,aDeDen,-1.1583172857142858,-1.0850851714285716,-1.157668857142857,-1.0293612714285716,asedin,aseDin,-1.1420184285714283,-0.9753538857142858,-1.2991197142857145,-1.064938842857143,avedin,aBeDin,-1.1298128571428572,-0.9970481714285714,-1.2656507142857143,-1.0881197
abeja,VCVCV,aBexa,5,<10,-1.1172958333333334,-0.9088028666666668,-1.1940526666666669,-0.9408129833333332,acepo,asepo,-1.1117818333333334,-0.9678098666666668,-1.035782166666667,-0.95342215,acevo,aseBo,-1.1051265,-0.9822210333333334,-1.2328936666666668,-0.99701065,acezo,aseso,-1.0673455,-0.8891843666666667,-1.3842398333333332,-1.0832154833333334
abejorro,VCVCVCCV,aBexoro,7,<10,-1.3161775,-1.067487775,-1.130648888888889,-0.956161988888889,apibocho,apiBoCo,-1.2902975,-1.159130525,-1.274178888888889,-1.1008358777777778,,,,,,,,,,,,
abejón,VCVCVC,aBexon,6,<10,-1.117022142857143,-1.0048890285714285,-1.1890684285714286,-1.0172422714285716,abeñál,aBeYal,-1.120865714285714,-1.1142443142857144,-1.1652275714285716,-1.1329495571428574,abemál,aBemal,-1.1109074285714289,-0.9411096,-1.2046392857142858,-0.9911552714285714,avejál,aBexal,-1.137437,-1.0321976,-1.0594162857142857,-0.9894064142857144
abertura,VCVCCVCV,aBeRtuRa,8,<10,-0.8038067777777778,-0.7692276888888889,-0.8985201111111112,-0.8307823222222223,agandura,aGanduRa,-0.8067182222222222,-0.8784224666666667,-0.8277705555555556,-0.8834735444444445,avandura,aBanduRa,-0.7504911111111111,-0.8556433555555556,-0.8764307777777778,-0.9342762111111113,adandura,aDanduRa,-0.8892871111111111,-0.920200688888889,-0.8862117777777778,-0.9135581
abeto,VCVCV,aBeto,5,<10,-1.0319388333333337,-0.9184330333333331,-1.0882243333333337,-0.9471424833333334,añera,aYeRa,-1.0244521666666666,-0.9209003666666667,-1.015845,-0.92652365,adena,aDena,-1.0526101666666667,-0.8683796999999999,-1.1116575,-0.8924666500000001,acena,asena,-0.9949916666666666,-0.8175088666666666,-0.9432566666666666,-0.8214473166666667
abierta,VCVVCCV,aBjeRta,7,10-100,-0.872373625,-0.7342290250000001,-0.91681175,-0.8119853625000001,avienda,aBjenda,-0.850885625,-0.7172044,-0.811097125,-0.7726988625000001,aviarda,aBjaRDa,-0.932947375,-0.9007624,-0.94724575,-0.9826601125,adienda,aDjenda,-0.959581875,-0.8067486500000001,-0.888028375,-0.8218597375000001
abierto,VCVVCCV,aBjeRto,7,10-100,-0.90924325,-0.7819389000000001,-0.95357625,-0.8607076125,apuelto,apwelto,-1.01486725,-0.9005831500000001,-1.027109125,-0.9663331125,avuelto,aBwelto,-1.067899,-0.870072025,-1.14429775,-1.0303953625,,,,,,
abisal,VCVCVC,aBisal,6,<10,-0.9111382857142856,-0.8421873142857143,-1.1285812857142858,-0.9859554142857144,avison,aBison,-0.9257184285714286,-0.8892178857142857,-0.9818467142857142,-0.9511729857142858,avacal,aBakal,-1.0082374285714286,-0.8656127428571428,-1.032663428571429,-0.9334634142857144,avasas,aBasas,-0.7871181428571428,-1.0338268857142858,-0.9353084285714284,-1.1719674142857142
abismado,VCVCCVCV,aBismaDo,8,<10,-0.833098,-0.8530850222222222,-0.9349471111111112,-0.9250106555555556,apurbado,apuRBaDo,-0.8292964444444445,-0.8970368,-0.8813796666666667,-0.9543863222222224,apurgado,apuRGaDo,-0.8106983333333333,-0.8889760222222223,-0.8131034444444444,-0.8977035444444444,apurlado,apuRlaDo,-0.8644834444444444,-0.9560948,-0.8756095555555556,-0.9601082111111112
abismal,VCVCCVC,aBismal,7,<10,-0.9887985,-0.8943294000000002,-1.102036,-0.9754092375,abergal,aBeRGal,-0.985977625,-0.9145270250000002,-1.04443325,-0.9223413625,adarmal,aDaRmal,-0.976297125,-1.040281775,-0.963277875,-1.0033731125,agermal,axeRmal,-1.007716875,-0.940860025,-1.0395635,-0.9903371125
abismo,VCVCCV,aBismo,6,10-100,-0.9391035714285714,-0.8480581714285714,-1.0631924285714285,-0.9325601285714288,abergo,aBeRGo,-0.9501197142857144,-0.8566794571428572,-1.0409231428571428,-0.9181308428571427,aparmo,apaRmo,-0.9519181428571428,-0.8779217428571428,-0.95366,-0.8883945571428572,aborzo,aBoRso,-0.984377142857143,-0.8514981714285713,-0.9671721428571428,-0.9365701285714286
abjurar,VCCVCVC,aBxuRaR,7,<10,-1.37136,-1.241748025,-1.44348875,-1.2434891125,asbunar,asBunaR,-1.5175025,-1.279855525,-1.49111125,-1.1837328625,aslunar,aslunaR,-1.22153875,-1.173360525,-1.24739975,-1.1815416125,,,,,,
ablandar,VCCVCCVC,aBlandaR,8,<10,-0.8589698888888889,-0.9077636888888888,-0.8972115555555555,-0.9661974333333334,aflartar,aflaRtaR,-0.9196164444444443,-0.9644001333333334,-0.9212946666666666,-0.9718024333333334,acrartar,akRaRtaR,-0.9284237777777778,-1.0301471333333334,-0.9497775555555557,-1.0312425444444444,afrartar,afRaRtaR,-0.9295188888888888,-1.0253571333333331,-0.9332424444444444,-1.011664988888889
ablande,VCCVCCV,aBlande,7,<10,-0.991246125,-0.924864275,-0.952525,-0.8681636125000001,adrence,aDRense,-0.9864795,-0.8746154,-1.097255625,-0.9071129875,atlence,atlense,-0.997840375,-0.97953265,-1.09184025,-0.9898848625,aclence,aklense,-0.984553,-0.963971275,-1.098132,-0.9695568625
