item,logprob
aDiso,-4.3860633
asiso,-4.2038123
apiso,-4.6191833
axiso,-4.8289143
akasa,-4.2530313
akala,-3.7961392999999997
asika,-3.5526933
asilo,-4.4509793
asino,-4.0426763
asiso,-4.2038123
amasepa,-5.9626143
amasesa,-5.8756163
amasema,-6.1318013
amasefa,-6.2213333
amaseBa,-6.3662833
amaseGa,-6.1495253000000005
amaseBa,-6.3662833
amaseBo,-6.5917633
amaselo,-6.2978983
amaseto,-6.5733223
amamelo,-7.0258743
amameto,-6.3744073000000006
amaleBo,-6.3992223
amalelo,-6.770904300000001
amaleto,-6.321502300000001
amaseBo,-6.5917633
amiRio,-6.1926413
aBiso,-4.1037323
apiso,-4.6191833
aDiso,-4.3860633
amaGosja,-7.4843713
amaxenjo,-7.0777453
amaxeRja,-6.9003003000000005
amaxesjo,-7.019023300000001
amasosja,-7.1297783
aGuskoRaDo,-9.1025093
apoRtonaR,-7.7158253
aDoRtonaR,-7.549384300000001
aGuskolista,-9.499332299999999
aDoRtono,-6.7517703000000004
amasina,-5.7176973
amaRina,-5.6979723
amalina,-5.5718793
afasina,-5.8892403
afalina,-5.6541123
akasina,-5.7909763000000005
akaRina,-5.507967300000001
akalina,-5.354678300000001
atasina,-5.872781300000001
akusto,-4.8820883
aBisto,-4.5117783000000005
aBusto,-4.8956803
aBesto,-4.7537943
aResto,-4.3216263
aDesto,-4.5508353
amasamoR,-7.261369300000001
apiska,-5.1590603
aBeRsa,-4.4352603
aBiska,-4.6503223
apoRsa,-4.7941363
apeRsa,-4.5443773
aDiska,-4.939818300000001
aDeRsa,-4.892142300000001
aBoRsa,-4.7943163
apisGaDo,-7.710521300000001
apismaDo,-7.217357300000001
apislaDo,-7.6601083
apinsaDo,-7.1332393000000005
apinmaDo,-7.594483300000001
apulsaDo,-6.6242033000000005
apiskaR,-6.1453943
aBiskaR,-5.6366563
aBeRsaR,-5.6883533
apoRsaR,-6.0474223
apeRsaR,-5.797471300000001
aDeRsaR,-6.1452363000000005
aDiskaR,-5.9261523
aBoRsaR,-6.0476003
aDiRmeseDaR,-11.6859223
aGuRmeseDaR,-11.677122299999999
