item,logprob
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBako,-3.8105302999999995
aBaDexo,-7.549754300000001
aBaDexo,-7.549754300000001
aBaDexo,-7.549754300000001
aBaDexo,-7.549754300000001
aBaDexo,-7.549754300000001
aBaDexo,-7.549754300000001
aBaDexo,-7.549754300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDesa,-5.931818300000001
aBaDia,-5.5714943
aBaxo,-4.6839333000000005
aBaxo,-4.6839333000000005
aBaxo,-4.6839333000000005
aBaloRjo,-6.5408273
aBaloRjo,-6.5408273
aBaloRjo,-6.5408273
aBaloRjo,-6.5408273
aBaloRjo,-6.5408273
aBandeRaDo,-8.380209299999999
aBandonaR,-7.5322553
aBandonaR,-7.5322553
aBandonista,-9.0863433
aBandono,-6.7369783000000005
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBaniko,-5.4253923
aBanto,-4.7112083
aBanto,-4.7112083
aBanto,-4.7112083
aBanto,-4.7112083
aBanto,-4.7112083
aBanto,-4.7112083
aBaRataR,-7.273792300000001
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRka,-4.8871973
aBaRkaDo,-6.8238993
aBaRkaDo,-6.8238993
aBaRkaDo,-6.8238993
aBaRkaDo,-6.8238993
aBaRkaDo,-6.8238993
aBaRkaDo,-6.8238993
aBaRkaR,-5.8767253
aBaRkaR,-5.8767253
