item,logprob
aDiso,-6.433591
asiso,-6.316546
apiso,-5.90362
axiso,-6.554572
akasa,-5.711278
akala,-5.088148
asika,-5.959251
asilo,-6.036883
asino,-6.33705
asiso,-6.316546
axaj,-8.926961
axat,-8.396085
aBoj,-6.554124
aBot,-6.571477
apaj,-6.900282
apat,-6.482423
aBox,-8.966112
aBob,-8.81568
axak,-7.921902
amasepa,-8.885622
amaseYa,-7.983758
amasesa,-8.391621
amasela,-7.340099
amasema,-8.955737
amasefa,-10.59606
amaseBa,-8.496332
amaseGa,-8.279208
amaseBa,-8.496332
amamepa,-11.3148
amaseBo,-8.807959
amaselo,-7.082382
amaseto,-8.698545
amameBo,-10.1695
amamelo,-7.237125
amameto,-7.913507
amaleBo,-7.748786
amalelo,-7.946964
amaleto,-7.917191
amaseBo,-8.807959
amiBio,-9.620488
amixio,-10.90454
amisio,-8.914126
amixio,-10.90454
amifio,-8.716365
amiRio,-7.518214
amipio,-9.95903
aminio,-9.039471
amimio,-9.555612
amilio,-7.99243
apimo,-7.037674
apiGo,-7.05962
aBiso,-5.619803
aBimo,-6.596715
aBiGo,-7.379968
apiso,-5.90362
aDimo,-7.131675
aDiso,-6.433591
aDiGo,-7.084367
aBiYo,-8.238574
amaGonja,-10.11517
amaGosje,-10.74147
amaGosja,-9.80027
amaxenjo,-9.145967
amaxeRje,-9.864176
amaxeRja,-8.697097
amaxesjo,-8.522951
amasonja,-9.8423
amasosje,-10.35647
amasosja,-9.415272
aGuskoRaDo,-10.0582
aGusfenaDo,-13.66903
aGusfelaDo,-13.37435
aGusfoRaDo,-12.52436
aGusDonaDo,-15.12104
aGusDolaDo,-16.0099
aGuspenaDo,-10.47072
aGuspelaDo,-10.1987
aGuskoRaDo,-10.0582
aGusfenaDo,-13.66903
aGusfoRaDo,-12.52436
aGusDeRaDo,-14.12354
aGuspenaDo,-10.47072
aGuspoRaDo,-10.13354
aGusBenaDo,-11.44917
aGusBoRaDo,-11.13604
aGuslenaDo,-12.59019
apoRtonaR,-9.0934
aBeRtonaR,-9.30747
aDeRtonaR,-10.01909
aDoRtonaR,-8.914012
aGoRtonaR,-10.03169
afaRGokaR,-12.21573
afaRsokaR,-10.90679
afaRnokaR,-9.99644
afaRmokaR,-11.47952
afaRkokaR,-11.41425
aGuskolista,-11.24539
aGusfenista,-15.34532
aGusfolista,-15.16692
aGusDelista,-15.99564
aGuspenista,-12.14701
aGuspolista,-11.81111
aGusBenista,-13.12547
aGusBolista,-12.51719
aGuslenista,-14.26648
apoRtono,-8.626881
aBaRtoko,-8.92113
aBeRtono,-8.840951
aDaRtoko,-9.572636
aDeRtono,-9.552574
aDoRtono,-8.447492
aBeRtoko,-9.165135
aBoRtoko,-9.241163
aGaRtoko,-8.940129
aGoRtono,-9.56517
amasina,-7.973544
amaRina,-7.671858
amalina,-7.506524
afasina,-8.044928
afaRina,-8.278037
afalina,-7.531147
akasina,-7.365801
akaRina,-7.099436
