item,logprob
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBako,-5.869267
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBad,-4.848562
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDexo,-9.606647
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDesa,-7.379169
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaDia,-6.520523
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaxo,-5.383793
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBaloRjo,-8.012891
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandeRaDo,-7.885858
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaDo,-7.145752
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonaR,-7.209756
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandonista,-8.986669
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBandono,-6.743237
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBaniko,-6.574022
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBanto,-5.249593
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRataR,-7.377933
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRka,-6.203147
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaDo,-6.925956
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBaRkaR,-6.808786
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoR,-10.43041
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseDoRa,-10.87192
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasteseR,-8.995464
aBasto,-5.745131
aBasto,-5.745131
aBasto,-5.745131
aBasto,-5.745131
aBasto,-5.745131
aBasto,-5.745131
aBasto,-5.745131
aBasto,-5.745131
aBatiBle,-7.100339
aBatiBle,-7.100339
aBatiBle,-7.100339
aBatiBle,-7.100339
aBatiBle,-7.100339
aBatiBle,-7.100339
aBatiBle,-7.100339
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDa,-6.482606
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatiDo,-6.556438
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
aBatimjento,-9.354095
